year,lat,long,catch,weight
2017,50.44666667,53.06833333,32.88888889,5.422222222
2017,50.475,53.66166667,24,2.84
2017,50.385,53.87,30.22222222,2.08
2017,50.43333333,54.005,0,0
2017,50.57833333,54.40833333,0,0
2017,50.495,54.42666667,0,0
2017,50.365,54.25166667,3,0.02
2017,50.09833333,54.14166667,7,1.85
2017,50.16,54.435,0,0
2017,50.095,55.68666667,0,0
2017,50.22833333,55.49333333,0,0
2017,50.41333333,55.16,0,0
2017,50.73666667,54.78166667,0,0
2017,50.69666667,54.64166667,0,0
2017,50.98,54.36333333,0,0
2017,50.855,54.26,0,0
2017,50.76,53.26833333,10,2.03
2017,50.77166667,52.38,1,0.11
2017,50.44333333,52.64333333,0,0
2017,50.28833333,52.62,19,3.93
2017,50.30166667,52.49833333,6.857142857,1.017142857
2017,50.32666667,52.435,0,0
2017,50.39,52.34166667,0,0
2017,50.42166667,52.20166667,0,0
2017,50.48166667,51.93166667,1.777777778,0.56
2017,50.055,51.60833333,1,0.28
2017,49.83,51.705,1,0.34
2017,49.77166667,51.97666667,0,0
2017,49.585,51.69,0,0
2017,49.425,51.45666667,8,5.5
2017,49.35666667,51.21333333,16.88888889,8.577777778
2017,49.35833333,50.95,9.777777778,6.017777778
2017,49.35333333,50.55166667,51,30.19
2017,49.3,50.05666667,67.55555556,20.52444444
2017,49.435,50.26666667,7,2.39
2017,49.555,50.095,114.2857143,42.85714286
2017,49.61166667,50.195,13,5.6
2017,49.69333333,51.12666667,2.285714286,1.885714286
2017,49.855,51.36,3,2.41
2017,49.99333333,51.13166667,3,1.92
2017,49.91166667,50.565,7.111111111,5.022222222
2017,49.97166667,50.46833333,5,2.72
2017,49.98333333,50.28,24,11.22
2017,50.10666667,50.28333333,2,1.81
2017,50.40666667,50.73666667,17.14285714,7.074285714
2017,50.51166667,50.95,5,2.22
2017,50.535,51.60333333,1.777777778,1.991111111
2017,50.77,51.865,0,0
2017,50.94333333,51.88166667,0,0
2017,51.17333333,52.13,0,0
2017,51.29333333,52.47833333,50.66666667,7.982222222
2017,51.23166667,52.72833333,18,3.35
2017,51.14,53.03666667,86,18.14
2017,50.885,52.87,45,6.23
2017,50.78166667,53.06166667,53.71428571,9.577142857
